"年度[西暦]","戸籍数","戸籍人口[人]"
"2015","165331","375805"
"2016","166834","379012"
"2017","168518","382542"
"2018","170035","386010"
"2019","171630","389413"

"令和2年度港区行政資料集　戸籍数及び戸籍人口","Ver202003",
