,ｎ,知っている（％）,知らなかった（％）,,,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,1823,93.2,6.8,,,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,1699,92.1,7.9,,,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,1699,71.2,28.8,,,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること,1699,69.3,30.7,,,,,,,
オ)期日前投票は夜の８時までできること,1699,68.5,31.5,,,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,1699,18.8,81.2,,,,,,,
