,全体ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,無回答（％）,見た（計）（％）,,,,
今回選挙,1823,8.8,52.5,15.8,20.4,2.6,0.0,77.1,,,,
平成26年東京都知事選挙,2011,5.1,41.2,12.7,35.2,5.4,0.4,59.0,,,,
