,ｎ,新聞折込で配布（％）,各戸配布（新聞折込以外）（％）,公共施設等に置いてあった（％）,区市町村からの郵送（％）,都及び区市町村・総務省のホームページ（％）
全体,993,49.7,47.8,10.0,5.3,1.6
公報配布方法別新聞折込で配布（５区１市）,87,71.3,26.4,18.4,3.4,4.6
公報配布方法別各戸配布（新聞折込以外）（18区25市）,906,47.7,49.9,9.2,5.5,1.3
