,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1208,51.5,50.6,11.4,,,,
公報配布方法別新聞折込(5区1市),182,39.0,72.5,10.4,,,,
公報配布方法別各戸配布(18区25市),1026,53.7,46.7,11.6,,,,
