質問,n=2011(%)
テレビ,89.8
新聞,59.2
携帯電話・スマートフォン・タブレット等でのインターネット,44.3
パソコンでのインターネット,39.2
ラジオ,12.3
雑誌,11.0
その他,0.3
特にない,0.9
無回答,0.1
