団体名,選挙の種類（定数）,告示日,選挙期日,投票率,任期満了日,開票体制,備考
千代田区,長,1月29日,2月5日,53.67,2月7日,即日,
西東京市,長,1月29日,2月5日,32.90,2月17日,即日,
小金井市,議員(24),3月19日,3月26日,39.54,4月4日,即日,
羽村市,長,3月19日,3月26日,無投票,4月25日,－,
小平市,長,4月2日,4月9日,34.64,4月10日,即日,
小平市,議員(1),4月2日,4月9日,34.62,－,即日,便乗補欠選挙
日野市,長,4月9日,4月16日,36.65,4月26日,即日,
瑞穂町,長,4月18日,4月23日,43.35,5月15日,即日,
あきる野市,議員(21),6月4日,6月11日,52.26,6月30日,即日,
国分寺市,長,6月25日,7月2日,55.25,7月12日,即日,
青ヶ島村,議員(6),8月29日,9月3日,無投票,9月5日,即日,
青ヶ島村,長,8月29日,9月3日,無投票,9月30日,即日,
新島村,議員(2),9月5日,9月10日,80.55,－,即日,補欠選挙
武蔵野市,長,9月24日,10月1日,44.26,10月8日,即日,
武蔵野市,議員(1),9月24日,10月1日,44.23,－,即日,便乗補欠選挙
葛飾区,議員(40),11月5日,11月12日,43.62,11月12日,翌日,
葛飾区,長,11月5日,11月12日,43.61,12月18日,翌日,
利島村,長,11月7日,11月12日,94.05,11月30日,即日,
東久留米市,長,12月17日,12月24日,37.05,1月19日,即日,
東久留米市,議員(2),12月17日,12月24日,37.03,－,即日,便乗補欠選挙
