,ｎ,選挙期間に入る前から（7月13日以前）（％）,投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日（％）,わからない、忘れた（％）
全体,237,28.3,64.1,7.6,0.0
性別男性,103,30.1,61.2,8.7,0.0
性別女性,134,26.9,66.4,6.7,0.0
年齢別18歳,1,0.0,100.0,0.0,0.0
年齢別19歳,1,0.0,0.0,100.0,0.0
年齢別20歳代,23,17.4,60.9,21.7,0.0
年齢別30歳代,36,25.0,63.9,11.1,0.0
年齢別40歳代,56,25.0,67.9,7.1,0.0
年齢別50歳代,41,34.1,61.0,4.9,0.0
年齢別60歳代,41,31.7,63.4,4.9,0.0
年齢別70歳代,27,29.6,70.4,0.0,0.0
年齢別80歳以上,11,45.5,54.5,0.0,0.0
