質問,n,目にした(%),目にしなかった(%),わからない、忘れた(%),無回答(%)
全体,(2011),54.0,35.0,10.9,0.1
公報配布方法別新聞折り込み(5区1市),(244),53.7,31.6,14.8,0
公報配布方法別各戸配布(18区25市),(1767),54.0,35.4,10.4,0.2
