質問,n,選挙期間に入る前から(1月22日以前)(%),投票日当日を除く選挙期間中(1月23日から2月8日まで)(%),投票日当日(2月9日)(%),わからない、忘れた(%),無回答(%)
全体,(827),26.0,56.2,14.5,2.1,1.2
選挙への関心度別関心があった(計),(698),29.2,55.3,12.2,1.9,1.4
選挙への関心度別関心がなかった(計),(61),11.5,52.5,32.8,3.3,0
選挙への関心度別どちらともいえない,(68),5.9,69.1,22.1,2.9,0
