質問,n=197(%)
ニュースサイトや選挙情報サイト,69.5
候補者等のホームページ・ブログ,43.1
まとめサイトや電子掲示板などその他のサイト,21.3
候補者等のツイッター・フェイスブック等のSNS,18.8
候補者以外のホームページ・ブログ,18.8
YouTubeなど動画共有サイトでの選挙関連の動画,15.7
候補者以外のツイッター・フェイスブック等のSNS,14.7
候補者等からのメール,2.5
その他,1.0
わからない、忘れた,1.5
