指定者,公職の種類,政治団体の名称,事務所の所在地,緯度,経度,座標系
相澤耕太,市議会議員,都和の会,八王子市打越町１０４０－２,35.637721,139.354874,座標系（JGD2011）
會田浩貞,区議会議員,会田ひろさだ後援会,葛飾区鎌倉２－３１－１２,35.744865,139.879188,座標系（JGD2011）
相原與志郎,区議会議員,原志会,江戸川区西小松川町９－１７,35.698342,139.862116,座標系（JGD2011）
青木勇,区議会議員,青木いさむ後援会,墨田区東向島６－５７－２１,35.726514,139.824529,座標系（JGD2011）
青木英二,区長,新都政研究会,目黒区原町２－７－１１,35.614765,139.691796,座標系（JGD2011）
青木克徳,区長,青木かつのり後援会,葛飾区青戸５－３０－１２,35.748529,139.856190,座標系（JGD2011）
青木健,市議会議員,青木けん後援会,国立市谷保３０８５－１３,35.677820,139.426298,座標系（JGD2011）
青木早苗,区議会議員,青木早苗を育てる会,目黒区原町２－７－１１,35.614765,139.691796,座標系（JGD2011）
青木淳子,市議会議員,青木じゅん子後援会,国立市東１－１９－３６,35.696691,139.450235,座標系（JGD2011）
青木健,市議会議員,青木たけし後援会,福生市熊川２６７,35.719114,139.334586,座標系（JGD2011）
青木博子,区議会議員,青木博子後援会,北区志茂４－２５－３,35.782648,139.733609,座標系（JGD2011）
青鹿和男,町議会議員,青鹿和男友の会,西多摩郡日の出町平井１７５８－１９,35.739881,139.264625,座標系（JGD2011）
青柳吉季,区議会議員,墨田の福祉を良くする会,墨田区緑４－８－１１,35.693573,139.807011,座標系（JGD2011）
赤江奈都,区議会議員,赤江なつと歩む会,北区豊島４－１６－３４,35.761679,139.750956,座標系（JGD2011）
赤城裕,区議会議員,赤城いき生きゆたかの会,目黒区祐天寺２－１９－１０,35.635770,139.692277,座標系（JGD2011）
赤沼泰雄,市議会議員,赤沼やすお後援会,昭島市郷地町３－８－９,35.693831,139.383036,座標系（JGD2011）
赤羽艶子,区議会議員,あかばつや子後援会,新宿区中落合１－２１－３,35.715205,139.689142,座標系（JGD2011）
赤松大一,市議会議員,赤松大一友の会,三鷹市新川５－１７－４,35.675887,139.568393,座標系（JGD2011）
秋成靖,区議会議員,秋成おさむ後援会,大田区南蒲田３－１６－１１,35.552695,139.724625,座標系（JGD2011）
秋本明香,市議会議員,秋本あすかとマジカル仲間,国分寺市戸倉１－８－４３,35.709493,139.461947,座標系（JGD2011）
秋家聡明,区議会議員,秋家聡明後援会,葛飾区柴又６－２０－２２,35.756195,139.879708,座標系（JGD2011）
秋山薫,市議会議員,秋山薫後援会,日野市日野台４－５－５,35.671247,139.375926,座標系（JGD2011）
阿久津皇,区議会議員,阿久津皇と世田谷の未来を創る会,世田谷区成城２－２９－６,35.637999,139.596987,座標系（JGD2011）
阿久津広王,区議会議員,阿久津広王後援会,品川区南品川５－１６－５０,35.608223,139.741747,座標系（JGD2011）
