,ｎ,選挙期間に入る前から（6月21日以前）（％）,投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日（％）,わからない、忘れた（％）
全体,209,28.2,64.6,6.7,0.5
性別男性,91,29.7,64.8,5.5,0.0
性別女性,118,27.1,64.4,7.6,0.8
年齢別18歳,1,0.0,100.0,0.0,0.0
年齢別19歳,1,0.0,0.0,100.0,0.0
年齢別20歳代,19,26.3,57.9,15.8,0.0
年齢別30歳代,27,14.8,70.4,14.8,0.0
年齢別40歳代,50,26.0,68.0,6.0,0.0
年齢別50歳代,32,37.5,62.5,0.0,0.0
年齢別60歳代,41,24.4,65.9,7.3,2.4
年齢別70歳代,27,37.0,63.0,0.0,0.0
年齢別80歳以上,11,45.5,54.5,0.0,0.0
