,ｎ,選挙期間に入る前から（12月1日以前）（％）,投票日当日を除く選挙期間中（12月2日～12月13日まで）（％）,投票日当日（12月14日）（％）,わからない、忘れた（％）,無回答（％）
全体,987,34.0,45.3,16.9,2.1,1.6
選挙への関心度別関心があった（計）,718,39.4,45.4,12.5,0.7,1.9
選挙への関心度別関心がなかった（計）,167,20.4,42.5,31.7,5.4,0.0
選挙への関心度別どちらともいえない,99,18.2,50.5,23.2,7.1,1.0
