,n,政党を重視（％）,候補者個人を重視した（％）,どちらともいえない（％）,わからない（％）
全体,1491,14.0,78.9,6.6,0.6
職業別自営業,125,8.0,84.0,7.2,0.8
職業別勤め人,646,13.5,79.7,6.3,0.5
職業別学生,28,7.1,75.0,17.9,0.0
職業別専業主婦(夫),354,11.9,79.7,7.9,0.6
職業別その他,19,0.0,84.2,15.8,0.0
職業別無職(年金受給者含む),319,21.0,74.3,3.8,0.9
選挙への関心度別関心があった(計),1337,15.0,80.0,4.5,0.4
選挙への関心度別関心がなかった(計),45,4.4,46.7,44.4,4.4
選挙への関心度別どちらともいえない,109,4.6,78.0,16.5,0.9
