,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,読んだ（計）（％）,,,,
全体,1232,25.6,56.0,12.7,5.7,94.3,,,,
職業別自営業,98,30.6,55.1,11.2,3.1,96.9,,,,
職業別勤め人,523,26.2,54.0,16.4,6.5,93.7,,,,
職業別学生,17,11.8,64.7,17.6,5.9,94.1,,,,
職業別専業主婦(夫),296,22.0,60.1,11.5,6.4,93.6,,,,
職業別その他,17,23.5,52.9,23.5,0.0,100.0,,,,
職業別無職(年金受給者含む),281,28.8,58.4,7.8,5.0,95.0,,,,
選挙への関心度別関心があった(計),1102,28.2,57.4,11.2,3.2,96.8,,,,
選挙への関心度別関心がなかった(計),41,4.9,29.3,19.5,46.3,53.7,,,,
選挙への関心度別どちらともいえない,88,2.3,50.0,29.5,18.2,81.8,,,,
