質問,今回選挙(n=999)(%),平成24年都知事選挙(n=1415)(%),備考
都政をよくするためには、投票することが大切だと思ったから,56.7,49.5,
投票することは、義務であるから,40.9,40.0,
投票することは、権利であるから,34.0,28.7,
当選させたい候補者がいたから,29.3,23.7,
今の政治がよくないので、変えたいと思ったから,18.7,16.8,
自分の支持する政党の推す候補者を当選させたかったから,8.8,18.0,
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから※1,7.3,1.2,
投票率が気になったから※2,4.7,0,
当選させたくない候補者がいたから,4.6,3.5,
友人や家族が行くから、なんとなく,4.2,2.8,
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.1,1.6,
インターネット上の情報を見て興味を持ったから※2,1.3,0,
その他,1.4,0.8,
わからない,0.3,0.1,
無回答,0.3,0.2,
,,,注：※1平成24年は「マスコミや市民活動で、投票率の向上が話題になっていたから」
,,,※2今回調査で追加
