年・月,登録者数,増（△）減
27.6,10875445,8110
27.9,10922566,47121
27.12,10933966,11400
28.3,10938429,4463
28.6,10953691,15262
28.9,11223882,270191
28.12,11232348,8466
29.3,11228847,△3501
29.6,11239868,11021
