,ｎ,選挙期間に入る前から（7月13日以前）（％）,投票日当日を除く選挙期間中（7月14日から7月30日まで）（％）,投票日当日（7月31日）（％）,わからない、忘れた（％）
全体,1254,27.9,61.9,9.7,0.5
性別男性,593,28.3,62.6,8.4,0.7
性別女性,661,27.5,61.3,10.9,0.3
年齢別18歳,5,40.0,20.0,40.0,0.0
年齢別19歳,10,20.0,50.0,20.0,10.0
年齢別20歳代,72,15.3,61.1,20.8,2.8
年齢別30歳代,174,22.4,62.1,15.5,0.0
年齢別40歳代,281,23.8,68.7,6.8,0.7
年齢別50歳代,225,25.8,63.1,10.7,0.4
年齢別60歳代,264,29.9,63.6,6.4,0.0
年齢別70歳代,169,41.4,52.1,6.5,0.0
年齢別80歳以上,54,40.7,50.0,9.3,0.0
