,ア）ｎ,ア）投票日前に投票できる制度（期日前投票）があること知っている（％）,ア）投票日前に投票できる制度（期日前投票）があること知らなかった（％）,ア）投票日前に投票できる制度（期日前投票）があること無回答（％）,イ）ｎ,イ）仕事や買い物、旅行などを理由として期日前投票ができること知っている（％）,イ）仕事や買い物、旅行などを理由として期日前投票ができること知らなかった（％）,イ）仕事や買い物、旅行などを理由として期日前投票ができること無回答（％）,ウ）ｎ,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること知っている（％）,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること知らなかった（％）,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること無回答（％）,エ）ｎ,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること／知っている（％）,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること知らなかった（％）,エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること無回答（％）,オ）ｎ,オ）期日前投票は夜の8時までできること知っている（％）,オ）期日前投票は夜の8時までできること知らなかった（％）,オ）期日前投票は夜の8時までできること無回答（％）,カ）ｎ,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること知っている（％）,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること知らなかった（％）,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること無回答（％）
全体,1827,96.7,3.0,0.3,1766,88.2,8.9,2.9,1766,65.0,32.3,2.7,1766,67.3,29.9,2.8,1766,57.2,40.1,2.7,1766,26.0,71.1,2.9
地域別区部,1189,96.6,3.2,0.3,1148,86.8,9.3,3.9,1148,62.4,33.8,3.8,1148,64.5,31.8,3.7,1148,55.1,41.2,3.7,1148,26.7,69.2,4.1
地域別市郡部,638,96.9,2.7,0.5,618,90.9,8.1,1.0,618,69.9,29.4,0.6,618,72.7,26.4,1.0,618,61.3,38.0,0.6,618,24.8,74.6,0.6
