実施月日,実施自治体名,学校名,対象学年クラス数,人数,実施形態,添付資料
29.3.23,あきる野市,都立秋留台高等学校,"1,2年生12クラス",500人,出前授業/模擬選挙,―
29.3.22,目黒区,都立駒場高等学校,1年生9クラス,364人,出前授業,―
29.3.22,港区,普連土学園中学・高等学校,"高校1,2年生",6人,出前授業/模擬選挙,―
29.3.22,東久留米市東京都,都立東久留米総合高等学校,1年生6クラス,240人,出前授業/模擬選挙,出前授業用スライド資料（パワーポイント形式：６MB)
29.3.22,西東京市,都立保谷高等学校,2年生8クラス,316人,出前授業/模擬選挙,―
29.3.21,東京都,都立千歳丘高等学校,2年生,260人,出前授業/模擬選挙,出前授業用スライド資料（パワーポイント形式：5MB）
29.3.21,目黒区,都立目黒高等学校,2年生6クラス,279人,出前授業/模擬選挙,―
29.3.21,江戸川区,都立小松川高等学校,2年生9クラス,356人,出前授業/模擬選挙,―
29.3.17,国立市,都立第五商業高等学校(定時制),全学年4クラス,80人,出前授業,出前授業用スライド資料（パワーポイント形式：３MB）
29.3.17,練馬区,都立第四商業高等学校,2年生,196人,出前授業/模擬選挙,―
29.3.17,町田市,都立小川高等学校,2年生8クラス,308人,出前授業/模擬選挙,―
29.3.16,葛飾区,都立南葛飾高等学校,2年生6クラス,232人,出前授業/模擬選挙,―
29.3.15,目黒区,トキワ松学園中学校・高等学校,高校2年生4クラス,132人,出前授業/模擬選挙,―
29.3.15,北区,都立赤羽商業高等学校,1年生6クラス,192人,出前授業/模擬選挙,―
29.3.15,町田市,都立山崎高等学校,2年生6クラス,200人,出前授業/模擬選挙,―
29.3.15,多摩市,都立永山高等学校,1年生8クラス,300人,出前授業/模擬選挙,―
29.3.14,港区,都立芝商業高等学校,2年生6クラス,200人,出前授業/模擬選挙,―
29.3.14,豊島区,豊島岡女子高等学校,2年生8クラス,340人,出前授業,―
29.3.13,江戸川区,都立葛西南高等学校,2年生7クラス,265人,出前授業/模擬選挙,―
29.3.10,国立市,都立国立高等学校,1年生8クラス,325人,出前授業,出前授業用スライド資料（パワーポイント形式：３MB）
29.3.7,新宿区,KTC中央高等学院,全学年3クラス,42人,出前授業/模擬選挙,―
