,参議院議員選挙/調査数,参議院議員選挙/テレビ・ラジオの選挙報道,参議院議員選挙/新聞・雑誌などの選挙報道,参議院議員選挙/選挙公報,参議院議員選挙/投票所入場（整理）券,参議院議員選挙/テレビ・ラジオの政見放送・経歴放送,参議院議員選挙/候補者等の新聞広告,参議院議員選挙/候補者等のポスター,参議院議員選挙/候補者等の街頭演説,参議院議員選挙/候補者等の選挙運動用自動車からの連呼,参議院議員選挙/候補者の個人演説会,参議院議員選挙/候補者等のはがき・ビラ,参議院議員選挙/各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,参議院議員選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,参議院議員選挙/政党、候補者の後援会などからの推薦,参議院議員選挙/家族、友人、知人からの勧め,参議院議員選挙/その他,参議院議員選挙/どれにも接していない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/テレビ・ラジオの選挙報道,東京都知事選挙/新聞・雑誌などの選挙報道,東京都知事選挙/選挙公報,東京都知事選挙/投票所入場（整理）券,東京都知事選挙/テレビ・ラジオの政見放送・経歴放送,東京都知事選挙/候補者等の新聞広告,東京都知事選挙/候補者等のポスター,東京都知事選挙/候補者等の街頭演説,東京都知事選挙/候補者等の選挙運動用自動車からの連呼,東京都知事選挙/候補者の個人演説会,東京都知事選挙/候補者等のはがき・ビラ,東京都知事選挙/候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,東京都知事選挙/政党、候補者の後援会などからの推薦,東京都知事選挙/家族、友人、知人からの勧め,東京都知事選挙/その他,東京都知事選挙/どれにも接していない,東京都知事選挙/わからない、忘れた
全体,1823,1591,968,722,400,473,355,871,213,246,23,169,108,79,43,108,3,70,57,1823,1603,973,738,399,421,359,896,315,276,27,163,85,28,85,2,67,53
全体,100.0,87.3,53.1,39.6,21.9,25.9,19.5,47.8,11.7,13.5,1.3,9.3,5.9,4.3,2.4,5.9,0.2,3.8,3.1,100.0,87.9,53.4,40.5,21.9,23.1,19.7,49.1,17.3,15.1,1.5,8.9,4.7,1.5,4.7,0.1,3.7,2.9
性別男性,852,745,485,359,206,235,178,411,109,115,17,88,66,56,20,37,3,30,26,852,750,483,363,202,206,179,420,143,124,18,88,60,16,27,2,30,27
性別男性,100.0,87.4,56.9,42.1,24.2,27.6,20.9,48.2,12.8,13.5,2.0,10.3,7.7,6.6,2.3,4.3,0.4,3.5,3.1,100.0,88.0,56.7,42.6,23.7,24.2,21.0,49.3,16.8,14.6,2.1,10.3,7.0,1.9,3.2,0.2,3.5,3.2
性別女性,971,846,483,363,194,238,177,460,104,131,6,81,42,23,23,71,-,40,31,971,853,490,375,197,215,180,476,172,152,9,75,25,12,58,-,37,26
性別女性,100.0,87.1,49.7,37.4,20.0,24.5,18.2,47.4,10.7,13.5,0.6,8.3,4.3,2.4,2.4,7.3,-,4.1,3.2,100.0,87.8,50.5,38.6,20.3,22.1,18.5,49.0,17.7,15.7,0.9,7.7,2.6,1.2,6.0,-,3.8,2.7
年齢別18歳,7,6,3,1,-,1,-,4,1,2,1,-,-,-,-,1,-,-,1,7,6,3,1,-,1,-,4,2,2,-,-,-,-,1,-,-,1
年齢別18歳,100.0,85.7,42.9,14.3,-,14.3,-,57.1,14.3,28.6,14.3,-,-,-,-,14.3,-,-,14.3,100.0,85.7,42.9,14.3,-,14.3,-,57.1,28.6,28.6,-,-,-,-,14.3,-,-,14.3
年齢別19歳,20,15,5,3,2,-,1,4,1,2,-,-,1,1,-,1,-,2,-,20,14,5,2,2,-,1,6,1,2,-,-,1,-,2,-,2,-
年齢別19歳,100.0,75.0,25.0,15.0,10.0,-,5.0,20.0,5.0,10.0,-,-,5.0,5.0,-,5.0,-,10.0,-,100.0,70.0,25.0,10.0,10.0,-,5.0,30.0,5.0,10.0,-,-,5.0,-,10.0,-,10.0,-
