,ｎ,テレビ・ラジオの選挙報道（％）,候補者等のポスター（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,投票所入場（整理）券（％）,候補者等の街頭演説（％）,候補者等の新聞広告（％）,候補者のはがき・ビラ（％）
全体,1827,71.3,43.4,42.8,38.5,26.3,22.1,15.7,14.4
性別男性,882,71.5,43.1,45.7,37.4,25.3,22.7,17.2,12.4
性別女性,945,71.1,43.7,40.1,39.6,27.2,21.5,14.3,16.3
年齢別20歳代,174,65.5,41.4,35.1,26.4,21.3,31.0,9.2,4.6
年齢別30歳代,261,68.6,38.3,29.1,25.7,21.1,23.4,8.8,11.9
年齢別40歳代,365,72.3,48.8,38.9,33.4,24.1,24.4,13.7,15.9
年齢別50歳代,294,73.5,45.2,51.0,37.1,28.9,23.1,17.3,14.3
年齢別60歳代,313,74.1,47.0,53.0,47.6,31.6,23.3,25.9,18.5
年齢別70歳代,296,72.0,42.6,45.9,51.0,29.4,14.5,16.9,17.6
年齢別80歳以上,124,68.5,29.8,41.1,48.4,23.4,12.1,12.9,11.3
