,今回選挙（ｎ=321）(%),平成26年東京都知事選挙（ｎ=963）(%),備考,,,,
仕事が忙しく、時間がなかったから,37.7,31.7,,,,,
病気（看病を含む）又は体調が悪かったから,23.1,16.4,,,,,
政治や選挙には関心がないから,16.5,12.6,,,,,
自分一人が投票しなくても選挙の結果に影響がないから,14.6,8.0,,,,,
選挙によって政治や暮らしが良くなるわけではないから,12.8,7.5,,,,,
適当な候補者がいなかったから,9.7,9.8,,,,,
投票所へ行くのが面倒だったから,9.3,8.7,,,,,
投票日を忘れていたから、知らなかったから,4.0,3.5,,,,,
旅行に出かけていたから,3.4,3.3,,,,,
投票所が遠かった（不便だった、わからなかった）から,2.5,1.6,,,,,
候補者の人柄や政策がわからなかったから,1.2,3.1,,,,,
その他,2.5,4.5,,,,,
その他（雪の影響）※,-,41.6,,,,,
わからない、忘れた,1.9,0.8,,,,,
無回答,-,0.6,,,,,
,,,注：※今回調査は「その他」、平成26年調査は「その他（雪の影響）」、「その他（雪の影響以外）」,,,,
