,ｎ,電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）（％）,選挙広報用の新聞広告（％）,区市町村の広報車（％）,国、都、区市町村の広報誌（％）,区市町村の広報掲示板（％）,ラジオ告知（都民ニュース）（％）,見たり聞いたりしたものはない（％）,わからない、忘れた（％）
全体,1827,34.1,30.7,19.4,16.7,14.4,5.6,21.3,11.4
性別男性,882,36.1,33.1,18.3,16.8,12.7,7.6,21.3,10.9
性別女性,945,32.3,28.4,20.4,16.7,16.1,3.7,21.4,12.0
年齢別20歳代,174,39.7,13.2,19.5,7.5,10.9,2.3,23.0,14.9
年齢別30歳代,261,31.8,16.9,14.2,11.1,10.3,2.7,26.4,16.5
年齢別40歳代,365,40.5,23.0,17.8,13.7,13.7,4.4,18.9,15.6
年齢別50歳代,294,38.4,37.4,20.4,17.7,18.7,5.8,16.7,10.2
年齢別60歳代,313,35.1,40.9,24.6,25.2,19.2,8.0,21.7,5.4
年齢別70歳代,296,27.4,44.6,22.0,20.9,13.2,8.4,19.9,6.1
年齢別80歳以上,124,15.3,31.5,12.9,16.9,11.3,6.5,29.0,14.5
