氏名,公職の種類,政治団体の名称,区分,事務所の所在地,緯度,経度,座標系,代表者
赤枝恒雄,衆議院議員,自由民主党東京都衆議院比例区第一支部,1,港区元麻布３－１－３０,35.657778,139.727912,座標系（JGD2011）,赤枝恒雄
秋元司,衆議院議員,自由民主党東京都第十五選挙区支部,1,江東区東陽５－３１－２２,35.672521,139.815529,座標系（JGD2011）,秋元司
阿久津幸彦,衆議院議員,民主党東京都第２４区総支部,1,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,阿久津幸彦
阿久津幸彦,衆議院議員,阿久津幸彦友の会,1,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,阿久津幸彦
阿久津幸彦,衆議院議員,阿久津幸彦を囲む税理士の会,2,八王子市天神町２－１,35.658061,139.329243,座標系（JGD2011）,加瀬明彦
阿久津幸彦,衆議院議員,阿久津幸彦を支える会,１・2,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,阿久津幸彦
阿久津幸彦,衆議院議員,新・都市政策研究会“Ｗｉｌｌ”,1,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,阿久津幸彦
石原伸晃,衆議院議員,自由民主党東京都第八選挙区支部,1,杉並区阿佐谷南１－１４－２０,35.699173,139.637048,座標系（JGD2011）,石原伸晃
石原伸晃,衆議院議員,衆議院議員石原伸晃の税理士後援会,2,杉並区阿佐谷北１－８－１９,35.706390,139.639737,座標系（JGD2011）,深澤公弘
石原宏高,衆議院議員,自由民主党東京都第三選挙区支部,1,品川区大井１－２２－５,35.606592,139.732676,座標系（JGD2011）,石原宏高
石原宏高,衆議院議員,石原ひろたかの会,１・2,品川区大井１－２２－５,35.606592,139.732676,座標系（JGD2011）,石原宏高
井戸正枝,衆議院議員,民主党東京都第４総支部,1,大田区蒲田５－４６－１１,35.560330,139.715989,座標系（JGD2011）,井戸正枝
井戸正枝,衆議院議員,井戸まさえ勝手応援団,１・2,大田区蒲田５－４６－１１,35.560330,139.715989,座標系（JGD2011）,井戸正枝
伊藤公介,衆議院議員,東京公友会,１・2,町田市中町２－６－１１,35.552719,139.441656,座標系（JGD2011）,伊藤公介
伊藤達也,衆議院議員,自由民主党東京都第二十二選挙区支部,1,調布市布田１－３－１,35.654635,139.545008,座標系（JGD2011）,伊藤達也
伊藤達也,衆議院議員,伊藤達也を囲む税理士の会,2,調布市布田１－３２－５,35.653197,139.544783,座標系（JGD2011）,高橋省二
井上信治,衆議院議員,自由民主党東京都第二十五選挙区支部,1,青梅市新町３－３９－１,35.781264,139.297667,座標系（JGD2011）,井上信治
井上信治,衆議院議員,井上信治を囲む税理士の会,2,青梅市東青梅４－８－６,35.785538,139.278895,座標系（JGD2011）,山崎利雄
井上信治,衆議院議員,信政会,１・2,青梅市新町３－３９－１,35.781264,139.297667,座標系（JGD2011）,井上信治
今井雅人,衆議院議員,今井雅人東京後援会,１・2,港区西新橋３－２４－８,35.661319,139.751128,座標系（JGD2011）,今井雅人
江渡聡徳,衆議院議員,江渡聡徳東京後援会,2,千代田区麹町３－７－８,35.683619,139.740123,座標系（JGD2011）,前田和彦
大河原雅子,参議院議員,大河原雅子と湧く湧く会議,１・2,千代田区飯田橋１－８－９,35.699508,139.748395,座標系（JGD2011）,大河原雅子
大熊利昭,衆議院議員,維新の党衆議院東京都第２選挙区支部,1,文京区千駄木２－３３－４,35.723845,139.762941,座標系（JGD2011）,大熊利昭
太田昭宏,衆議院議員,公明党衆議院小選挙区東京第１２総支部,1,北区王子２－３２－７,35.756237,139.738500,座標系（JGD2011）,太田昭宏
太田昭宏,衆議院議員,太田あきひろ後援会,2,北区王子２－３２－７,35.756237,139.738500,座標系（JGD2011）,大木田守
太田昭宏,衆議院議員,太田あきひろ励ます会,2,北区王子２－３２－７,35.756237,139.738500,座標系（JGD2011）,今井悦豊
太田昭宏,衆議院議員,ビジョン２１,１・2,北区王子２－３２－７,35.756237,139.738500,座標系（JGD2011）,太田昭宏
太田順子,衆議院議員,太田順子後援会,１・2,北区中十条１－１３－９,35.759433,139.729301,座標系（JGD2011）,太田順子
大塚珠代,参議院議員,自由民主党東京都参議院選挙区第四支部,1,新宿区四谷１－２１,35.685452,139.728723,座標系（JGD2011）,大塚珠代
大西英男,衆議院議員,自由民主党東京都第十六選挙区支部,1,江戸川区松島２－８－２,35.708386,139.859079,座標系（JGD2011）,大西英男
大西英男,衆議院議員,大西英男後援会,2,江戸川区松島２－８－３,35.708410,139.858906,座標系（JGD2011）,松下彰男
小川敏夫,参議院議員,民主党東京都参議院選挙区第１総支部,1,練馬区豊玉北４－４－１２,35.735503,139.659937,座標系（JGD2011）,小川敏夫
小川敏夫,参議院議員,小川敏夫を応援する会,１・2,練馬区豊玉北４－４－１２,35.735503,139.659937,座標系（JGD2011）,小川敏夫
小川博,衆議院議員,小川博後援会,１・2,墨田区緑３－１２－６,35.694724,139.804696,座標系（JGD2011）,小川博
小倉將信,衆議院議員,自由民主党東京都第二十三選挙区支部,1,町田市原町田５－４－７,35.545345,139.450009,座標系（JGD2011）,小倉將信
小倉將信,衆議院議員,小倉まさのぶ後援会,１・2,町田市原町田５－４－７,35.545345,139.450009,座標系（JGD2011）,小倉將信
小倉將信,衆議院議員,行政書士による小倉まさのぶ後援会,2,町田市小川１５７３－３,35.519792,139.471673,座標系（JGD2011）,釘田一富
小倉將信,衆議院議員,将成会,１・2,町田市原町田５－４－７,35.545345,139.450009,座標系（JGD2011）,小倉將信
小倉將信,衆議院議員,税理士による小倉まさのぶ後援会,2,町田市中町３－３－１３,35.550177,139.448955,座標系（JGD2011）,安部泰弘
尾立源幸,参議院議員,いろは会,2,港区南青山５－１０－１９,35.662807,139.710755,座標系（JGD2011）,古居弘道
小田原潔,衆議院議員,自由民主党東京都第二十一選挙区支部,1,立川市高松町３－１４－１１,35.703038,139.416419,座標系（JGD2011）,小田原潔
小田原潔,衆議院議員,小田原きよし連合後援会,2,立川市高松町３－１４－１１,35.703038,139.416419,座標系（JGD2011）,新藤義彦
小田原潔,衆議院議員,誠潔会,１・2,立川市高松町３－１４－１１,35.703038,139.416419,座標系（JGD2011）,小田原潔
越智隆雄,衆議院議員,自由民主党東京都第六選挙区支部,1,世田谷区太子堂４－６－２１,35.643255,139.666637,座標系（JGD2011）,越智隆雄
越智隆雄,衆議院議員,おちたかお政策研究会,１・2,世田谷区太子堂４－６－２１,35.643255,139.666637,座標系（JGD2011）,越智隆雄
落合貴之,衆議院議員,維新の党衆議院東京都第６選挙区支部,1,世田谷区太子堂４－５－２,35.643191,139.667247,座標系（JGD2011）,落合貴之
落合貴之,衆議院議員,みんなで日本を良くする会,１・2,世田谷区太子堂４－５－２,35.643191,139.667247,座標系（JGD2011）,落合貴之
海江田万里,衆議院議員,民主党東京都第１区総支部,1,新宿区四谷３－１１,35.688100,139.719098,座標系（JGD2011）,海江田万里
海江田万里,衆議院議員,海江田万里を支える会,１・2,新宿区四谷３－１１,35.688100,139.719098,座標系（JGD2011）,海江田万里
柿沢未途,衆議院議員,維新の党衆議院東京都第１５選挙区支部,1,江東区富岡１－２６－２１,35.669714,139.800604,座標系（JGD2011）,柿沢未途
柿沢未途,衆議院議員,柿沢未途後援会,2,江東区富岡１－２６－２１,35.669714,139.800604,座標系（JGD2011）,長谷川健治
柿沢未途,衆議院議員,柿沢未途「夢」応援団,１・2,江東区富岡１－２６－２１,35.669714,139.800604,座標系（JGD2011）,柿沢未途
柿沢未途,衆議院議員,新都市経済研究会,１・2,江東区富岡１－２６－２１,35.669714,139.800604,座標系（JGD2011）,柿沢未途
片山さつき,参議院議員,行政書士による片山さつき後援会,2,港区麻布十番２－１７－３,35.654084,139.736033,座標系（JGD2011）,彦坂登
片山さつき,参議院議員,税理士による片山さつき後援会,2,港区麻布十番２－１７－３,35.654084,139.736033,座標系（JGD2011）,原田伸幸
加藤義隆,衆議院議員,維新の党衆議院東京都第６選挙区第２支部,1,世田谷区北沢１－３５－６,35.660638,139.670930,座標系（JGD2011）,加藤義隆
鹿野晃,衆議院議員,かのあきら後援会,１・2,三鷹市上連雀８－５－１５,35.683884,139.557224,座標系（JGD2011）,鹿野晃
鴨下一郎,衆議院議員,自由民主党東京都第十三選挙区支部,1,足立区中央本町４－１－１８,35.773931,139.806069,座標系（JGD2011）,鴨下一郎
鴨下一郎,衆議院議員,いちろうゴルフ会,2,足立区中央本町４－１－１８,35.773931,139.806069,座標系（JGD2011）,芦川隆行
鴨下一郎,衆議院議員,鴨下一郎事務所,１・2,足立区中央本町４－１－１８,35.773931,139.806069,座標系（JGD2011）,鴨下一郎
川島智太郎,衆議院議員,生活の党と山本太郎となかまたち衆議院東京ブロック比例区第１総支部,1,練馬区光が丘７－８－１,35.757798,139.624820,座標系（JGD2011）,川島智太郎
川島智太郎,衆議院議員,政治経済研究クラブ「ともの会」,１・2,練馬区光が丘７－８－１,35.757798,139.624820,座標系（JGD2011）,川島智太郎
川島智太郎,衆議院議員,東京ともの会,１・2,練馬区光が丘７－８－１,35.757798,139.624820,座標系（JGD2011）,川島智太郎
川島智太郎,衆議院議員,練馬ともの会,１・2,練馬区光が丘７－８－１,35.757798,139.624820,座標系（JGD2011）,川島智太郎
川田龍平,参議院議員,川田龍平を応援する会,2,港区南青山２－２－１５,35.671503,139.723818,座標系（JGD2011）,汐見稔幸
菅直人,衆議院議員,民主党東京都第１８区総支部,1,武蔵野市中町１－２－９,35.703560,139.559669,座標系（JGD2011）,菅直人
菅直人,衆議院議員,菅直人を応援する会,１・2,武蔵野市中町１－２－９,35.703560,139.559669,座標系（JGD2011）,菅直人
菅直人,衆議院議員,菅直人を囲む税理士の会,2,武蔵野市中町１－２３－１７,35.703760,139.563013,座標系（JGD2011）,伊藤則義
菅直人,衆議院議員,菅直人を支援する弁理士有志の会,2,新宿区新宿２－３－１０,35.689337,139.707692,座標系（JGD2011）,後藤政喜
木内孝胤,衆議院議員,維新の党衆議院東京都第９選挙区支部,1,練馬区豊玉北６－１３－３,35.736486,139.651447,座標系（JGD2011）,木内孝胤
木内孝胤,衆議院議員,木内たかたね後援会,１・2,練馬区豊玉北６－１３－３,35.736486,139.651447,座標系（JGD2011）,木内孝胤
木原誠二,衆議院議員,自由民主党東京都第二十選挙区支部,1,東村山市栄町２－２８－２,35.748343,139.470851,座標系（JGD2011）,木原誠二
木原誠二,衆議院議員,木原誠二後援会,2,東村山市栄町２－２８－２,35.748343,139.470851,座標系（JGD2011）,野島善司
木原誠二,衆議院議員,木原誠二を囲む税理士の会,2,東村山市栄町１－３６－８４,35.751997,139.477409,座標系（JGD2011）,豊田直史
木原誠二,衆議院議員,誠心会,１・2,東村山市栄町２－２８－２,35.748343,139.470851,座標系（JGD2011）,木原誠二
木原誠二,衆議院議員,木蹊会,１・2,東村山市栄町２－２８－２,35.748343,139.470851,座標系（JGD2011）,木原誠二
木村剛司,衆議院議員,川の手ゆめの会,1,墨田区吾妻橋２－１－１,35.708111,139.802353,座標系（JGD2011）,木村剛司
木村剛司,衆議院議員,木村たけつか後援会,１・2,荒川区荒川５－２６－６,35.738262,139.774613,座標系（JGD2011）,木村剛司
木村剛司,衆議院議員,剛志会,１・2,墨田区吾妻橋２－１－１,35.708111,139.802353,座標系（JGD2011）,木村剛司
櫛渕万里,衆議院議員,民主党東京都第２３区総支部,1,町田市森野２－２５－１３,35.551665,139.440085,座標系（JGD2011）,櫛渕万里
櫛渕万里,衆議院議員,くしぶち万里後援会,2,町田市森野２－２５－１３,35.551665,139.440085,座標系（JGD2011）,浅沼尚
櫛渕万里,衆議院議員,税理士によるくしぶち万里後援会,2,町田市相原町７９８－１,35.605733,139.332801,座標系（JGD2011）,杉崎太吉
熊木美奈子,衆議院議員,くまき美奈子後援会,1,板橋区常盤台１－１－１,35.759009,139.690330,座標系（JGD2011）,熊木美奈子
小池百合子,衆議院議員,自由民主党東京都第十選挙区支部,1,豊島区南池袋２－１２－８,35.725974,139.713766,座標系（JGD2011）,小池百合子
小泉龍司,衆議院議員,樹会,2,港区西新橋１－１９－６,35.667669,139.752716,座標系（JGD2011）,尾林達成
高村正彦,衆議院議員,高村正彦法曹後援会,2,港区虎ノ門３－７－１２,35.664454,139.746166,座標系（JGD2011）,小川信明
小林興起,衆議院議員,小林こうきの税理士後援会,2,豊島区駒込１－１２－１２,35.734707,139.748955,座標系（JGD2011）,石原佑浩
小林史明,衆議院議員,小林史明を育てる会,１・2,千代田区永田町２－２－１,35.674373,139.743111,座標系（JGD2011）,小林史明
下村博文,衆議院議員,自由民主党東京都第十一選挙区支部,1,板橋区大山金井町３８－１２,35.747768,139.703412,座標系（JGD2011）,下村博文
下村博文,衆議院議員,博文会,１・2,板橋区大山金井町３８－１２,35.747768,139.703412,座標系（JGD2011）,下村博文
末松義規,衆議院議員,民主党東京都第１９区総支部,1,小平市花小金井２－１－３９,35.730763,139.513536,座標系（JGD2011）,末松義規
末松義規,衆議院議員,税理士による末松義規後援会,2,国分寺市泉町３－３７－１,35.698743,139.464298,座標系（JGD2011）,八田繁男
菅原一秀,衆議院議員,自由民主党東京都第九選挙区支部,1,練馬区豊玉北５－２３－１１,35.735904,139.654190,座標系（JGD2011）,菅原一秀
菅原一秀,衆議院議員,新時代政経フォーラム,１・2,練馬区豊玉北５－２３－１１,35.735904,139.654190,座標系（JGD2011）,菅原一秀
鈴木隼人,衆議院議員,自由民主党東京都衆議院比例区第五支部,1,千代田区神田鍛冶町３－５,35.691320,139.772237,座標系（JGD2011）,鈴木隼人
平将明,衆議院議員,自由民主党東京都第四選挙区支部,1,大田区蒲田５－３０－１５,35.561831,139.719644,座標系（JGD2011）,平将明
平将明,衆議院議員,大森地区の税理士による平将明後援会,2,大田区山王１－４４－７,35.592037,139.719381,座標系（JGD2011）,秋元弘一
平将明,衆議院議員,平将明を囲む税理士の会,2,大田区西蒲田８－２－１,35.560779,139.714174,座標系（JGD2011）,壽藤博明
平将明,衆議院議員,ＴＫＣ平将明後援会,2,大田区蒲田４－４２－１,35.559157,139.718741,座標系（JGD2011）,武藤剛
