,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,無回答（％）,見た（計）（％）,備考
全体,1827,8.6,51.2,9.0,29.6,1.3,0.4,68.7,
,,,,,,,,,注：合計値では四捨五入の関係上、比率の単純な合計とは多少の差がある。
