,ｎ,定期購読している（％）,定期購読していない（％）,無回答（％）
全体,1827,62.5,37.3,0.2
性別男性,882,62.0,37.8,0.2
性別女性,945,63.0,36.8,0.2
年齢別20歳代,174,41.4,58.0,0.6
年齢別30歳代,261,32.2,67.4,0.4
年齢別40歳代,365,51.5,48.2,0.3
年齢別50歳代,294,72.1,27.9,0.0
年齢別60歳代,313,79.9,20.1,0.0
年齢別70歳代,296,80.7,18.9,0.3
年齢別80歳以上,124,78.2,21.8,0.0
