,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,触れていない、見ていない（％）
全体,1491,22.5,7.2,6.2,68.1
職業別自営業,125,27.2,13.6,8.8,60.8
職業別勤め人,646,35.3,10.5,9.4,55.9
職業別学生,28,25.0,3.6,17.9,53.6
職業別専業主婦(夫),354,12.7,3.1,3.7,80.5
職業別その他,19,21.1,10.5,-,57.9
職業別無職(年金受給者含む),319,5.3,2.5,0.9,84.0
