選挙区名/登録者数,今回（平成29年6月現在）(A)計,今回（平成29年6月現在）男内訳,今回（平成29年6月現在）女内訳,前回（平成29年3月2日現在）(B)計,前回（平成29年3月2日現在）男内訳,前回（平成29年3月2日現在）女内訳,増（△）減(A-B)
西多摩選挙区(福生市・羽村市・あきる野市・瑞穂町・日の出町・檜原村・奥多摩町),210867,105708,105159,210987,105764,105223,△120
南多摩選挙区(多摩市・稲城市),197360,97346,100014,197049,97162,99887,311
北多摩第一選挙区(東村山市・東大和市・武蔵村山市),255663,125511,130152,255730,125563,130167,△67
北多摩第二選挙区(国分寺市・国立市),165209,80710,84499,164907,80584,84323,302
北多摩第三選挙区(調布市・狛江市),261422,126936,134486,260916,126724,134192,506
北多摩第四選挙区(清瀬市・東久留米市),159943,77247,82696,159815,77212,82603,128
島部選挙区(大島町・利島町・新島村・神津島村・三宅村・御蔵島村・八丈町・青ヶ島村・小笠原村),22248,11396,10852,22273,11382,10891,△25
