都知事選挙における実際の投票率と調査結果の「投票率」との比較,今回選挙（平成26年）平均,今回選挙（平成26年）男性,今回選挙（平成26年）女性,24,23,19,15,11
調査における投票率（Ａ）,49.7,51.1,48.4,77.7,75.2,74.7,63.3,78.4
実際の投票率（Ｂ）,46.1,46.5,45.8,62.6,57.8,54.4,44.9,57.9
差（Ａ－Ｂ）,3.6,4.6,2.6,15.1,17.4,20.3,18.4,20.5
