,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,無回答（％）,見た（計）（％）
全体,1827,8.6,51.2,9.0,29.6,1.3,0.4,68.7
選挙への関心度別関心があった（計）,1084,11.6,57.4,11.4,18.5,0.8,0.3,80.4
選挙への関心度別関心がなかった（計）,554,4.5,37.4,4.9,50.9,1.8,0.5,46.8
選挙への関心度別どちらともいえない,179,3.4,57.5,6.7,30.7,1.1,0.6,67.6
