,ｎ,知っている（％）,知らなかった（％）,無回答（％）,備考
今回選挙ア）投票日前に投票できる制度（期日前投票）があること,1827,96.7,3.0,0.3,
平成24年衆議院議員選挙ア）投票日前に投票できる制度（期日前投票）があること,1822,94.1,5.8,0.1,
今回選挙イ）仕事や買い物、旅行などを理由として期日前投票ができること,1766,88.2,8.9,2.9,
平成24年衆議院議員選挙イ）仕事や買い物、旅行などを理由として期日前投票ができること,1715,75.0,23.0,1.9,※1
今回選挙ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること,1766,65.0,32.3,2.7,
平成24年衆議院議員選挙ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること,1715,58.0,39.9,2.1,
今回選挙エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）,1766,67.3,29.9,2.8,
平成24年衆議院議員選挙エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）,1715,67.0,31.4,1.6,
今回選挙オ）期日前投票は夜の8時までできること,1766,57.2,40.1,2.7,
平成24年衆議院議員選挙オ）期日前投票は夜の8時までできること,1715,57.4,41.5,1.1,
今回選挙カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,1766,26.0,71.1,2.9,※2
平成24年衆議院議員選挙カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,-,-,-,-,※2
,,,,,※1平成24年衆議院議員選挙は“買い物やレジャーなどを理由として期日前投票ができること”
,,,,,※2平成24年衆議院議員選挙は“今回の選挙で期日前投票ができる場所”（「知っている」は63.7％）
