,ｎ,テレビ・ラジオの選挙報道（％）,候補者等のポスター（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,投票所入場（整理）券（％）,候補者等の街頭演説（％）,候補者等の新聞広告（％）,候補者のはがき・ビラ（％）
全体,1827,71.3,43.4,42.8,38.5,26.3,22.1,15.7,14.4
職業別自営業,152,71.1,40.1,49.3,46.7,24.3,21.1,19.1,19.7
職業別勤め人,934,70.8,44.6,40.9,32.2,24.0,24.8,14.6,12.4
職業別学生,35,65.7,40.0,42.9,31.4,20.0,34.3,14.3,5.7
職業別専業主婦(夫),309,74.8,45.0,42.7,45.6,33.0,22.3,14.2,19.7
職業別その他,18,61.1,22.2,16.7,22.2,16.7,16.7,5.6,11.1
職業別無職(年金受給者含む),370,70.5,42.2,45.7,47.0,28.4,14.6,18.9,14.1
地域別区部,1189,71.7,44.8,42.1,37.5,29.4,23.0,15.1,14.3
地域別市郡部,638,70.7,40.8,44.0,40.4,20.5,20.4,16.8,14.6
