区分,合計,経常経費,政治活動費組織活動費,政治活動費選挙関係費,政治活動費事業費,政治活動費調査研究費,政治活動費寄付・交付金,政治活動費その他の経費,政治活動費小計
政党支部平成27年(百万円),8743,3278,1028,796,967,36,2479,161,5465
政党支部平成26年(百万円),8937,3705,1175,482,1153,37,2313,72,5233
政党支部増減額(百万円),△194,△427,△148,314,△186,△2,166,88,232
政党支部対前年比(%),97.8,88.5,87.4,165.2,83.9,95.2,107.2,222.2,104.4
その他の政治団体平成27年(百万円),5365,1343,831,196,1291,50,1584,70,4023
その他の政治団体平成26年(百万円),4967,1173,842,171,1102,59,1543,77,3794
その他の政治団体増減額(百万円),399,170,△11,25,189,△9,41,△6,229
その他の政治団体対前年比(%),108.0,114.5,98.7,114.3,117.2,85.3,102.6,91.9,106.0
計平成27年(百万円),14108,4621,1859,992,2258,86,4062,231,9488
計平成26年(百万円),13904,4877,2018,653,2255,96,3856,149,9027
計増減額(百万円),204,△257,△158,339,3,△10,206,82,461
計対前年比(%),101.5,94.7,92.1,151.8,100.1,89.2,105.3,155.1,105.1
