,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）
全体,1827,54.4,40.4,4.9,0.3
性別男性,882,52.6,42.5,4.4,0.5
性別女性,945,56.0,38.5,5.3,0.2
年齢別20歳代,174,32.8,59.2,8.0,0.0
年齢別30歳代,261,39.5,53.6,6.1,0.8
年齢別40歳代,365,46.6,48.5,4.9,0.0
年齢別50歳代,294,56.1,38.1,5.1,0.7
年齢別60歳代,313,67.1,29.7,3.2,0.0
年齢別70歳代,296,69.6,26.7,3.0,0.7
年齢別80歳以上,124,66.1,28.2,5.6,0.0
職業別自営業,152,59.9,33.6,5.9,0.7
職業別勤め人,934,47.1,47.9,4.8,0.2
職業別学生,35,31.4,60.0,8.6,0.0
職業別専業主婦(夫),309,67.0,27.8,4.9,0.3
職業別その他,18,44.4,50.0,5.6,0.0
職業別無職(年金受給者含む),370,63.0,32.4,4.1,0.5
