,今回選挙（ｎ＝1208）(%),平成25年参議院議員選挙（ｎ＝542）(%),,,,,
各戸配布（新聞折込以外）,51.5,41.5,,,,,
新聞折込で配布,50.6,60.9,,,,,
公共施設等に置いてあった,11.4,9.6,,,,,
区市町村からの郵送,2.2,3.5,,,,,
都及び区市町村・総務省のホームページ,1.7,2.0,,,,,
わからない、忘れた,3.8,1.5,,,,,
無回答,-,3.1,,,,,
