地域,No,対象区市町村の町丁名,標本数
センター・コア・エリア,1,千代田区平河町２丁目,15
センター・コア・エリア,2,中央区日本橋室町,15
センター・コア・エリア,3,中央区月島２丁目,15
センター・コア・エリア,4,港区南青山５丁目,15
センター・コア・エリア,5,港区浜松町２丁目,15
センター・コア・エリア,6,港区港南３丁目,15
センター・コア・エリア,7,港区三田１丁目,15
センター・コア・エリア,8,新宿区河田町,15
センター・コア・エリア,9,新宿区北新宿１丁目,15
センター・コア・エリア,10,新宿区中落合１丁目,15
センター・コア・エリア,11,新宿区南榎町,15
センター・コア・エリア,12,新宿区百人町２丁目,15
センター・コア・エリア,13,文京区本郷４丁目,15
センター・コア・エリア,14,文京区本駒込２丁目,15
センター・コア・エリア,15,文京区千駄木３丁目,15
センター・コア・エリア,16,台東区日本堤２丁目,15
センター・コア・エリア,17,台東区蔵前３丁目、４丁目,15
センター・コア・エリア,18,墨田区本所４丁目,15
センター・コア・エリア,19,墨田区京島１丁目,15
センター・コア・エリア,20,墨田区菊川２丁目,15
センター・コア・エリア,21,墨田区向島２丁目,15
センター・コア・エリア,22,江東区豊洲４丁目,15
センター・コア・エリア,23,江東区猿江１丁目,15
センター・コア・エリア,24,江東区大島８丁目,15
センター・コア・エリア,25,江東区南砂４丁目,15
センター・コア・エリア,26,江東区潮見２丁目,15
センター・コア・エリア,27,江東区東砂７丁目,15
センター・コア・エリア,28,渋谷区西原２丁目,15
センター・コア・エリア,29,渋谷区初台１丁目,15
センター・コア・エリア,30,渋谷区広尾１丁目,15
センター・コア・エリア,31,豊島区駒込２丁目,15
センター・コア・エリア,32,豊島区上池袋３丁目,15
センター・コア・エリア,33,豊島区池袋本町１丁目,15
センター・コア・エリア,34,豊島区長崎３丁目,15
センター・コア・エリア,35,豊島区東池袋４丁目,15
センター・コア・エリア,36,荒川区東尾久３丁目,15
センター・コア・エリア,37,荒川区荒川７丁目,15
区部東部・北部エリア,38,北区王子本町１丁目,15
区部東部・北部エリア,39,北区赤羽西５丁目,15
区部東部・北部エリア,40,北区赤羽南２丁目,15
区部東部・北部エリア,41,北区王子６丁目,15
区部東部・北部エリア,42,北区田端新町３丁目,15
区部東部・北部エリア,43,北区滝野川３丁目,15
区部東部・北部エリア,44,北区豊島６丁目,15
区部東部・北部エリア,45,板橋区中丸町,15
区部東部・北部エリア,46,板橋区弥生町,15
区部東部・北部エリア,47,板橋区常盤台４丁目,15
区部東部・北部エリア,48,板橋区前野町３丁目,15
