,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,,
全体,1823,66.3,23.0,10.7,,
選挙への関心度別関心があった(計),1283,79.3,16.0,4.8,,
選挙への関心度別関心がなかった(計),227,25.6,52.4,22.0,,
選挙への関心度別どちらともいえない,298,44.3,31.2,24.5,,
新聞の定期購読別定期購読している,1240,77.3,14.2,8.5,,
新聞の定期購読別定期購読していない,583,42.9,41.9,15.3,,
