,n,投票日(7月10日)に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）,備考
全体,1823,67.3,11.5,20.7,0.6,78.7,
地域別区部,1381,68.9,9.9,20.5,0.7,78.9,
地域別市郡部,442,62.0,16.3,21.3,0.5,78.3,
,,,,,,,注：今回調査では、調査地点に町村部が含まれていないため、区部と市部の実際投票率を比較した。
