質問,今回選挙(n=2011)(%),平成25年都議会議員選挙、参議院議員選挙(n=1089)(%)
テレビ,89.8,85.1
新聞,59.2,64.3
携帯電話・スマートフォン・タブレット等でのインターネット,44.3,25.6
パソコンでのインターネット,39.2,37.2
ラジオ,12.3,12.1
雑誌,11.0,8.5
その他,0.3,0.3
特にない,0.9,2.6
無回答,0.1,0.5
