,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
1,民主党東京都総支部連合会,千代田区永田町１－１１－１,35.678919,139.742990,座標系（JGD2011）,松原仁,長島昭久,H10.10.30,
2,民主党東京都第６区総支部,千代田区永田町１－１１－１,35.678919,139.742990,座標系（JGD2011）,松原仁,北条博一,H8.10.7,衆
3,民主党東京都港区支部,港区北青山３－３－７,35.668385,139.714894,座標系（JGD2011）,杉浦教夫,大塚隆朗,H13.11.7,
4,民主党東京都第１区総支部,新宿区四谷３－１１,35.688103,139.719107,座標系（JGD2011）,海江田万里,尾崎百合子,H8.10.7,衆
5,民主党東京都文京区支部,文京区大塚５－２０－５,35.721910,139.729411,座標系（JGD2011）,渡辺雅史,増子博樹,H13.3.1,
6,民主党東京都台東区支部,台東区浅草１－１－７,35.711480,139.797158,座標系（JGD2011）,中山寛進,中山雅子,H14.4.9,
7,民主党東京都第２区総支部,台東区雷門１－１２－１２,35.710253,139.794361,座標系（JGD2011）,中山義活,山崎泰,H8.10.14,
8,民主党東京都第１５区総支部,江東区森下１－５－５,35.686665,139.798035,座標系（JGD2011）,松原仁,大澤昇,H24.11.26,衆
9,民主党東京都第３区総支部,品川区東大井５－１７－４,35.606682,139.735797,座標系（JGD2011）,松原仁,関根勉,H10.12.25,衆
10,民主党東京都第５区総支部,目黒区上目黒１－１７－６,35.645515,139.697988,座標系（JGD2011）,手塚仁雄,渡辺智士,H9.12.3,衆
11,民主党東京都第４区総支部,大田区西蒲田７－５－３,35.563907,139.715199,座標系（JGD2011）,藤田憲彦,藤田憲彦,H11.2.25,衆
12,民主党東京都第４総支部,大田区蒲田５－４６－１１,35.560330,139.715989,座標系（JGD2011）,井戸正枝,望月伸介,H27.10.29,衆
13,民主党東京都参議院選挙区第３総支部,世田谷区北沢１－２４－２１,35.663970,139.673011,座標系（JGD2011）,村田蓮舫,石橋尚樹,H16.3.31,参
14,民主党東京都渋谷区支部,渋谷区笹塚２－１１－２,35.674989,139.668446,座標系（JGD2011）,大津浩子,矢部英子,H17.6.13,
15,民主党東京都中野区支部,中野区本町５－３９－１０,35.692296,139.668684,座標系（JGD2011）,西澤圭太,能津恵子,H19.5.24,
16,民主党東京都第７区総支部,中野区中央４－１１－１３,35.699505,139.670762,座標系（JGD2011）,長妻昭,森武尚,H9.11.21,衆
17,民主党東京都杉並区支部,杉並区阿佐谷南３－３－１,35.700063,139.634458,座標系（JGD2011）,門脇文良,増田裕一,H23.1.11,
18,民主党東京都第８区総支部,杉並区上荻１－１５－６,35.705461,139.618081,座標系（JGD2011）,山崎順子,城信雄,H15.9.29,衆
19,民主党東京都第１０総支部,豊島区池袋３－３－１１,35.734154,139.700170,座標系（JGD2011）,松原仁,大谷洋子,H27.9.17,衆
20,民主党東京都北区支部,北区中十条３－８－９,35.763414,139.722675,座標系（JGD2011）,大畑修,赤江奈都,H12.5.1,
21,民主党東京都第１２区総支部,北区神谷１－２８－８,35.768176,139.731224,座標系（JGD2011）,長妻昭,和田宗春,H26.6.25,衆
22,民主党東京都荒川区支部,荒川区東日暮里４－２０－７,35.725992,139.780764,座標系（JGD2011）,竹内明浩,滝口学,H23.1.11,
23,民主党東京都第１４総支部,荒川区東日暮里４－２０－７,35.725992,139.780764,座標系（JGD2011）,松原仁,滝口学,H27.9.17,衆
24,民主党東京都第１１区総支部,板橋区幸町５１－９,35.742379,139.695874,座標系（JGD2011）,松原仁,中妻穣太,H15.10.10,衆
25,民主党東京都練馬区支部,練馬区春日町４－１８－８,35.754383,139.638338,座標系（JGD2011）,淺野克彦,土屋均,H26.3.28,
26,民主党東京都参議院選挙区第１総支部,練馬区豊玉北４－４－１２,35.735503,139.659937,座標系（JGD2011）,小川敏夫,今井陽子,H10.6.5,参
27,民主党東京都第９区総支部,練馬区春日町４－１８－８,35.754383,139.638338,座標系（JGD2011）,松原仁,淺野克彦,H24.11.22,衆
28,民主党東京都足立区支部,足立区梅島１－１２－６,35.772551,139.798079,座標系（JGD2011）,大西智,米山泰志,H19.3.20,
29,民主党東京都第１３区総支部,足立区梅島１－１２－６,35.772551,139.798079,座標系（JGD2011）,松原仁,鈴木良平,H24.11.26,衆
30,民主党東京都第１７区総支部,葛飾区東金町１－１９－６,35.771359,139.868676,座標系（JGD2011）,松原仁,臺英明,H18.10.25,衆
31,民主党東京都第１６区総支部,江戸川区松江３－１２－３,35.697737,139.867946,座標系（JGD2011）,松原仁,中里省三,H24.11.30,衆
32,民主党東京都八王子市支部,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,伊藤忠之,田中雄太,H27.2.27,
33,民主党東京都第２４区総支部,八王子市中山４４６,35.628129,139.364194,座標系（JGD2011）,阿久津幸彦,家藤義人,H9.12.1,衆
34,民主党東京都立川市支部,立川市曙町２－３４－６,35.701829,139.414805,座標系（JGD2011）,酒井大史,伊藤大輔,H16.3.30,
35,民主党東京都第２１区総支部,立川市錦町２－２－５,35.695614,139.416633,座標系（JGD2011）,長島昭久,及川哲央,H13.1.15,衆
36,民主党東京都第１８区総支部,武蔵野市中町１－２－９,35.703560,139.559669,座標系（JGD2011）,菅直人,平野隆志,H8.10.4,衆
37,民主党東京都武蔵野市支部,武蔵野市中町１－２－３,35.703776,139.559643,座標系（JGD2011）,深澤達也,栗田和永,H24.3.12,
38,民主党東京都三鷹市支部,三鷹市下連雀３－２２－５,35.700995,139.562106,座標系（JGD2011）,中村洋,馬場邦雄,H22.6.21,
39,民主党東京都府中市支部,府中市宮町１－９－１,35.670259,139.480602,座標系（JGD2011）,小山有彦,丸山初来,H21.12.1,
40,民主党東京都調布市支部,調布市布田２－３０－４,35.652303,139.547335,座標系（JGD2011）,尾崎大介,池谷勝,H17.11.21,
41,民主党東京都第２２区総支部,調布市布田２－３０－４,35.652303,139.547335,座標系（JGD2011）,山花郁夫,阿部哲史,H8.10.7,衆
42,民主党東京都第２３区総支部,町田市森野２－２５－１３,35.551665,139.440085,座標系（JGD2011）,櫛渕万里,岡本直子,H11.8.26,衆
43,民主党東京都小金井市支部,小金井市中町４－１２－１１,35.696528,139.506102,座標系（JGD2011）,鈴木成夫,村山秀貴,H18.8.10,
44,民主党東京都小平市支部,小平市小川町２－１３４４－２,35.730415,139.477799,座標系（JGD2011）,齋藤敦,滝口幸一,H13.5.28,
45,民主党東京都第１９区総支部,小平市花小金井２－１－３９,35.730763,139.513536,座標系（JGD2011）,末松義規,興津秀憲,H11.1.5,衆
46,民主党東京都日野市支部,日野市多摩平１－１０－５,35.660148,139.379982,座標系（JGD2011）,新井智陽,竹村陽子,H23.1.11,
47,民主党東京都第２０総支部,東村山市栄町２－３１－１,35.749298,139.469844,座標系（JGD2011）,竹田光明,二宮由子,H26.6.25,衆
48,民主党東京都国分寺市支部,国分寺市本多２－１－１,35.703795,139.481089,座標系（JGD2011）,及川妙子,興津玉美,H22.8.5,
49,民主党東京都東久留米市支部,東久留米市金山町１－１－４,35.766311,139.538919,座標系（JGD2011）,山下太郎,山下とみ,H15.4.4,
50,民主党東京都第２５区総支部,羽村市五ノ神１－８－６,35.757781,139.316750,座標系（JGD2011）,山下容子,川向末男,H11.12.17,衆
51,民主党東京都西東京市支部,西東京市芝久保町３－６－２３,35.729928,139.523335,座標系（JGD2011）,石毛泰道,二木孝之,H17.12.15,
