,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,読んだ（計）（％）,,,,
全体,1208,22.4,56.8,13.9,6.9,93.1,,,,
性別男性,571,26.4,54.5,13.5,5.6,94.4,,,,
性別女性,637,18.8,58.9,14.3,8.0,92.0,,,,
年齢別18歳,3,33.3,66.7,0.0,0.0,100.0,,,,
年齢別19歳,6,0.0,66.7,16.7,16.7,83.3,,,,
年齢別20歳代,59,5.1,54.2,23.7,16.9,83.1,,,,
年齢別30歳代,151,16.6,47.7,21.9,13.9,86.1,,,,
年齢別40歳代,274,19.7,59.1,13.5,7.7,92.3,,,,
年齢別50歳代,230,25.7,58.7,13.0,2.8,97.4,,,,
年齢別60歳代,251,24.3,59.8,12.7,3.2,96.8,,,,
年齢別70歳代,176,27.3,56.8,8.0,8.0,92.0,,,,
年齢別80歳以上,58,34.5,50.0,12.1,3.4,96.6,,,,
