区市町村名/登録者数,今回（平成29年6月1日）(A)計,今回（平成29年6月1日）男内訳,今回（平成29年6月1日）女内訳,前回（平成29年3月2日）(B)計,前回（平成29年3月2日）男内訳,前回（平成29年3月2日）女内訳,増（△）減(A-B)
総数,25578,12308,13270,25779,12418,13361,△201
区部,19964,9684,10280,20118,9769,10349,△154
市部,5540,2597,2943,5586,2621,2965,△46
町村部,74,27,47,75,28,47,△1
郡部,37,12,25,38,13,25,△1
島部,37,15,22,37,15,22,0
区部,19964,9684,10280,20118,9769,10349,△154
千代田区,340,165,175,342,166,176,△2
中央区,498,260,238,510,264,246,△12
港区,1217,560,657,1249,579,670,△32
新宿区,1063,502,561,1096,525,571,△33
文京区,772,389,383,781,391,390,△9
台東区,350,180,170,355,180,175,△5
墨田区,329,150,179,332,151,181,△3
江東区,825,440,385,821,439,382,4
品川区,972,490,482,979,493,486,△7
目黒区,1144,530,614,1138,528,610,6
大田区,1306,629,677,1323,640,683,△17
世田谷区,2867,1400,1467,2870,1393,1477,△3
渋谷区,1023,447,576,1029,448,581,△6
中野区,757,365,392,771,374,397,△14
杉並区,1593,790,803,1605,794,811,△12
豊島区,615,311,304,613,308,305,2
北区,495,240,255,498,241,257,△3
荒川区,251,126,125,253,128,125,△2
板橋区,704,343,361,695,338,357,9
練馬区,1137,550,587,1141,559,582,△4
足立区,522,239,283,523,240,283,△1
葛飾区,454,231,223,456,236,220,△2
江戸川区,730,347,383,738,354,384,△8
市部,5540,2597,2943,5586,2621,2965,△46
八王子市,523,233,290,532,238,294,△9
立川市,171,89,82,175,90,85,△4
武蔵野市,446,224,222,444,221,223,2
三鷹市,384,178,206,383,178,205,1
青梅市,97,45,52,98,45,53,△1
府中市,310,171,139,312,173,139,△2
昭島市,96,46,50,98,47,51,△2
調布市,393,189,204,395,193,202,△2
町田市,558,240,318,559,244,315,△1
小金井市,268,140,128,269,138,131,△1
小平市,301,140,161,307,143,164,△6
日野市,184,86,98,186,87,99,△2
東村山市,178,86,92,181,88,93,△3
国分寺市,223,102,121,226,105,121,△3
国立市,145,66,79,144,65,79,1
福生市,73,22,51,74,22,52,△1
狛江市,138,60,78,140,61,79,△2
東大和市,66,32,34,68,33,35,△2
清瀬市,66,30,36,68,32,36,△2
東久留米市,181,84,97,178,81,97,3
武蔵村山市,64,26,38,64,26,38,0
多摩市,229,96,133,234,98,136,△5
稲城市,101,53,48,99,52,47,2
羽村市,68,28,40,69,29,40,△1
あきる野市,41,14,27,41,14,27,0
西東京市,236,117,119,242,118,124,△6
町村部,74,27,47,75,28,47,△1
郡部,37,12,25,38,13,25,△1
瑞穂町,19,4,15,19,4,15,0
日の出町,14,6,8,15,7,8,△1
檜原町,0,0,0,0,0,0,0
奥多摩町,4,2,2,4,2,2,0
島部,37,15,22,37,15,22,0
大島支庁計,9,3,6,9,3,6,0
大島町,5,1,4,5,1,4,0
利島村,0,0,0,0,0,0,0
新島村,1,0,1,1,0,1,0
神津島村,3,2,1,3,2,1,0
三宅支庁計,3,2,1,3,2,1,0
三宅村,3,2,1,3,2,1,0
御蔵島村,0,0,0,0,0,0,0
八丈支庁計,20,8,12,20,8,12,0
八丈町,20,8,12,20,8,12,0
青ヶ島村,0,0,0,0,0,0,0
小笠原支庁計,5,2,3,5,2,3,0
小笠原村,5,2,3,5,2,3,0
