,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,見た（計）（％）,,,,
全体,1823,6.3,54.4,13.7,22.9,2.7,74.4,,,,
性別男性,852,7.9,53.5,14.8,21.4,2.5,76.2,,,,
性別女性,971,4.9,55.2,12.7,24.2,3.0,72.8,,,,
年齢別18歳,7,0.0,57.1,0.0,42.9,0.0,57.1,,,,
年齢別19歳,20,0.0,30.0,5.0,55.0,10.0,35.0,,,,
年齢別20歳代,164,1.8,32.3,11.6,47.0,7.3,45.7,,,,
年齢別30歳代,257,3.1,52.1,15.6,28.4,0.8,70.8,,,,
年齢別40歳代,398,5.3,60.1,15.3,18.3,1.0,80.7,,,,
年齢別50歳代,311,6.4,59.5,15.4,18.0,0.6,81.4,,,,
年齢別60歳代,337,10.4,61.7,12.2,14.5,1.2,84.3,,,,
年齢別70歳代,231,9.1,54.1,12.1,19.5,5.2,75.3,,,,
年齢別80歳以上,98,7.1,38.8,11.2,30.6,12.2,57.1,,,,
