,(n=238)（％）,,,,
ニュースサイトや選挙情報サイト,71.4,,,,
候補者・政党等のホームページ・ブログ,29.4,,,,
まとめサイトや電子掲示板などその他のサイト,21.8,,,,
候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,18.5,,,,
YouTubeなど動画共有サイトでの候補者演説等選挙関連の動画,16.0,,,,
候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,7.6,,,,
候補者・政党以外のホームページ・ブログ,7.1,,,,
候補者等からのメール,0.8,,,,
その他,-,,,,
わからない、忘れた,4.2,,,,
