,n,政党を重視（％）,候補者個人を重視した（％）,どちらともいえない（％）,わからない（％）
全体,1435,44.5,43.8,11.1,0.7
職業別自営業,120,35.0,51.7,12.5,0.8
職業別勤め人,621,41.7,46.7,11.0,0.6
職業別学生,27,25.9,51.9,22.2,0.0
職業別専業主婦(夫),340,43.8,40.9,14.4,0.9
職業別その他,19,26.3,47.4,26.3,0.0
職業別無職(年金受給者含む),308,57.1,37.0,5.2,0.6
選挙への関心度別関心があった(計),1206,47.3,45.7,6.6,0.4
選挙への関心度別関心がなかった(計),70,24.3,27.1,41.4,7.1
選挙への関心度別どちらともいえない,159,31.4,36.5,32.1,0.0
