区分,平成27年分(百万円),平成26年分(百万円),増減額(百万円),対前年比(%)
個人の寄附,4066,3494,572,116.4
法人等の寄附,367,488,△121,75.3
政治団体の寄附,1645,1680,△35,97.9
政党匿名寄附,0.039,0.008,0.032,524.4
計,6078,5662,417,107.4
