質問,n,新聞折込で配布(%),各戸配布(新聞折込以外)(%),公共施設等に置いてあった(%),区市町村からの郵送(%),都及び区市町村のホームページ(%)
全体,(1086),54.2,41.3,9.4,2.6,2.5
性別男性,(512),57.0,37.3,9.0,2.5,2.9
性別女性,(574),51.7,44.9,9.8,2.6,2.1
年齢別20歳代,(55),29.1,47.3,16.4,3.6,5.5
年齢別30歳代,(171),38.0,54.4,9.4,2.3,4.7
年齢別40歳代,(226),55.8,39.8,9.3,2.2,3.5
年齢別50歳代,(187),63.6,34.8,8.6,1.6,1.6
年齢別60歳代,(223),61.4,37.2,9.0,2.7,1.8
年齢別70歳代,(149),65.1,36.9,9.4,3.4,0.7
年齢別80歳以上,(55),40.0,47.3,9.1,5.5,0
職業別自営業,(83),59.0,43.4,12.0,1.2,2.4
職業別勤め人,(478),54.0,38.9,9.6,2.1,3.8
職業別学生,(11),63.6,9.1,18.2,9.1,0
職業別専業主婦(夫),(266),50.0,42.1,9.8,2.6,1.1
職業別その他,(31),51.6,54.8,3.2,0,3.2
職業別無職,(212),57.5,45.3,8.0,4.2,1.4
地域別区部,(683),61.5,36.6,12.7,3.1,3.5
地域別市郡部,(403),41.9,49.4,3.7,1.7,0.7
