,（n＝1491）（％）
国政、都政をよくするためには、投票することが大切だと思ったから,52.4
当選させたい候補者がいたから,51.4
今の政治がよくないので、変えたいと思ったから,28.4
投票することは、義務であるから,27.2
投票することは、権利であるから,25.7
自分の支持する政党の推す候補者を当選させたかったから,19.7
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,10.6
当選させたくない候補者がいたから,3.8
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.2
投票率が気になったから,3.2
友人や家族が行くから、なんとなく,2.9
インターネット上の情報を見て興味を持ったから,2.2
その他,0.2
わからない,0.6
