,ｎ,知っている（％）,知らなかった（％）,無回答（％）,,,,,
ア)投票日前に投票できる制度（期日前投票）があること今回選挙,1823,93.2,6.8,0.0,,,,,
ア)投票日前に投票できる制度（期日前投票）があること平成26年衆議院議員選挙,1827,96.7,3.0,0.3,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること今回選挙,1699,92.1,7.9,0.0,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること平成26年衆議院議員選挙,1766,88.2,8.9,2.9,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること今回選挙,1699,71.2,28.8,0.0,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること平成26年衆議院議員選挙,1766,65.0,32.3,2.7,,,,,
エ)期日前投票は、公示日（告示日）の翌日から投票日の前日（土日含む）までの間できること今回選挙,1699,69.3,30.7,0.0,,,,,
エ)期日前投票は、公示日（告示日）の翌日から投票日の前日（土日含む）までの間できること平成26年衆議院議員選挙,1766,67.3,29.9,2.8,,,,,
オ)期日前投票は夜の８時までできること今回選挙,1699,68.5,31.5,0.0,,,,,
オ)期日前投票は夜の８時までできること平成26年衆議院議員選挙,1766,57.2,40.1,2.7,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること今回選挙,1699,18.8,81.2,0.0,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること平成26年衆議院議員選挙,1766,26.0,71.1,2.9,,,,,
