,割合（％）,備考
テレビ・ラジオの選挙報道,48.6,
新聞・雑誌などの選挙報道,37.6,
選挙公報,33.1,
候補者等のポスター,19.4,
テレビ・ラジオの政見放送・経歴放送,15.7,
候補者等の街頭演説,11.1,
家族、友人、知人からの勧め,8.7,
候補者等の新聞広告,8.3,
各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,8.0,
政党・候補者の後援会などからの推薦,6.3,
候補者のホームページ、ツイッター等のネット上の情報,5.9,
候補者以外のホームページ、ツイッター等のネット上の情報,5.5,
候補者のはがき・候補者等のビラ,4.7,
候補者の個人演説会,3.5,
候補者等の選挙運動用自動車からの連呼,2.8,
各種団体からの推薦,1.6,
その他,1.6,
どれにも接していない,1.1,
役立ったものはない,7.4,
わからない、忘れた,1.8,
無回答,1.0,
,,（ｎ＝1246）
