,ｎ,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないのも自由（％）,その他（％）,わからない（％）,無回答（％）,投票するべき（計）
今回選挙,1827,38.5,42.7,17.2,0.6,0.8,0.1,81.2
平成24年衆議院議員選挙,1822,40.7,41.4,15.6,1.4,0.5,0.4,82.1
