,ｎ,テレビ（％）,新聞（％）,携帯電話・スマートフォン・タブレット等でのインターネット（％）,パソコンでのインターネット（％）
全体,1823,88.5,66.4,49.4,39.9
性別男性,852,87.9,68.4,52.2,45.0
性別女性,971,89.1,64.7,47.0,35.4
年齢別18歳,7,100.0,42.9,85.7,57.1
年齢別19歳,20,75.0,15.0,100.0,65.0
年齢別20歳代,164,80.5,23.8,87.2,73.8
年齢別30歳代,257,87.9,45.5,81.3,65.0
年齢別40歳代,398,89.9,65.3,70.6,53.8
年齢別50歳代,311,91.3,79.1,51.8,35.0
年齢別60歳代,337,92.3,86.1,20.2,20.5
年齢別70歳代,231,86.6,77.9,4.8,10.4
年齢別80歳以上,98,82.7,74.5,2.0,6.1
