,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,見た（計）（％）,,,,
全体,1823,8.8,52.5,15.8,20.4,2.6,77.1,,,,
性別男性,852,10.6,51.6,16.2,19.1,2.5,78.4,,,,
性別女性,971,7.2,53.2,15.4,21.4,2.7,75.9,,,,
年齢別18歳,7,0.0,57.1,14.3,28.6,0.0,71.4,,,,
年齢別19歳,20,0.0,30.0,15.0,45.0,10.0,45.0,,,,
年齢別20歳代,164,3.0,30.5,14.6,45.1,6.7,48.2,,,,
年齢別30歳代,257,6.6,48.6,19.1,25.7,0.0,74.3,,,,
年齢別40歳代,398,8.0,59.5,17.1,14.3,1.0,84.7,,,,
年齢別50歳代,311,9.0,56.3,17.7,16.7,0.3,83.0,,,,
年齢別60歳代,337,12.8,59.3,14.5,12.5,0.9,86.6,,,,
年齢別70歳代,231,12.1,53.2,11.7,17.3,5.6,77.1,,,,
年齢別80歳以上,98,7.1,37.8,12.2,29.6,13.3,57.1,,,,
