啓発媒体,今回選挙(n=1823)（％）,平成25年参議院議員選挙(n=1089)(%),備考
庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）,34.7,21.0,
選挙広報用の新聞広告,22.0,22.3,
電車内・駅構内のモニター、街中の大型モニターでの動画広告放映※1,21.9,-,
区市町村の広報掲示板,21.8,12.9,
区市町村の広報車,20.6,17.0,
国、都、区市町村の広報誌,20.6,19.8,
コンビニレジ画面の広告※1,13.2,-,
インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,7.8,3.6,
スーパー、コンビニなどの店内放送、防災無線による放送,5.3,1.4,
庁舎や公園などの懸垂幕・横断幕※3,4.3,22.3,
ポケットティッシュ等の広報グッズ,2.2,3.2,
18歳選挙権（参議院議員選挙）周知イベント（渋谷・新宿）※1,1.8,-,
都及び区市町村・総務省のホームページ,1.6,2.0,
都、区市町村、総務省のＳＮＳ（ツイッター等）,1.0,0.9,
都庁第一本庁舎のライトアップ※2,-,2.7,
新宿西口広場の壁面電照広告※2,-,2.2,
街頭や駅前での啓発キャンペーン、「海の日」海のいきもの選挙イベント※2,-,2.0,
ＴＯＫＹＯＭＸ内での文字広告※2,-,0.9,
コンビニ・大学キャンパス内での箸袋広告※2,-,0.6,
大学キャンパス内でのタダコピ※2,-,0.4,
理髪チェーン店ＱＢハウスのモニター、コンビニレジ画面の広告※2,-,0.1,
その他,0.4,0.1,
見たり聞いたりしたものはない,11.5,15.2,
わからない、忘れた,19.4,20.3,
無回答,-,2.8,
,,,注：※1今回調査で追加
,,,※2平成25年調査のみ
,,,※3平成25年調査は「庁舎や公園などの懸垂幕・横断幕・のぼり旗」
