,ｎ,選挙期間に入る前から（7月13日以前）（％）,投票日当日を除く選挙期間中（7月14日から7月30日まで）（％）,投票日当日（7月31日）（％）,わからない、忘れた（％）
全体,1254,27.9,61.9,9.7,0.5
職業別自営業,95,23.2,60.0,15.8,1.1
職業別勤め人,533,24.0,65.7,9.9,0.4
職業別学生,24,12.5,50.0,29.2,8.3
職業別専業主婦(夫),302,29.8,61.3,8.9,0.0
職業別その他,15,13.3,73.3,13.3,0.0
職業別無職(年金受給者含む),285,36.8,56.5,6.3,0.4
選挙への関心度別関心があった(計),1118,29.6,62.8,7.2,0.4
選挙への関心度別関心がなかった(計),41,7.3,41.5,46.3,4.9
選挙への関心度別どちらともいえない,95,16.8,60.0,23.2,0.0
