,ｎ,選挙期間に入る前から（7月21日以前）（％）,投票日当日を除く選挙期間中（6月22日から7月9日まで）（％）,投票日当日（7月10日）（％）,わからない、忘れた（％）
全体,1226,21.5,66.2,11.7,0.7
職業別自営業,92,22.8,63.0,13.0,1.1
職業別勤め人,522,16.7,71.3,11.5,0.6
職業別学生,23,8.7,47.8,34.8,8.7
職業別専業主婦(夫),298,20.8,66.1,12.8,0.3
職業別その他,15,13.3,66.7,20.0,0.0
職業別無職(年金受給者含む),276,32.2,59.4,8.0,0.4
選挙への関心度別関心があった(計),1023,23.9,67.8,7.9,0.4
選挙への関心度別関心がなかった(計),60,0.0,51.7,43.3,5.0
選挙への関心度別どちらともいえない,143,13.3,60.8,25.2,0.7
