,ｎ,選挙期間に入る前から（7月13日以前）（％）,投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日（％）,わからない、忘れた（％）
全体,237,28.3,64.1,7.6,0.0
職業別自営業,30,40.0,46.7,13.3,0.0
職業別勤め人,113,23.0,65.5,11.5,0.0
職業別学生,4,50.0,50.0,0.0,0.0
職業別専業主婦(夫),52,28.8,69.2,1.9,0.0
職業別その他,4,25.0,75.0,0.0,0.0
職業別無職(年金受給者含む),34,32.4,67.6,0.0,0.0
選挙への関心度別関心があった(計),219,28.3,64.4,7.3,0.0
選挙への関心度別関心がなかった(計),4,0.0,100.0,0.0,0.0
選挙への関心度別どちらともいえない,14,35.7,50.0,14.3,0.0
-2146826265,,,,,
