,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,見た（計）（％）,,,,
全体,1823,8.8,52.5,15.8,20.4,2.6,77.1,,,,
職業別自営業,133,12.8,48.9,22.6,15.0,0.8,84.2,,,,
職業別勤め人,821,8.2,51.5,16.6,22.3,1.5,76.2,,,,
職業別学生,47,2.1,36.2,12.8,42.6,6.4,51.1,,,,
職業別専業主婦(夫),395,8.1,58.5,17.5,14.7,1.3,84.1,,,,
職業別その他,25,4.0,72.0,20.0,4.0,0.0,96.0,,,,
職業別無職(年金受給者含む),402,10.4,50.5,10.4,22.1,6.5,71.4,,,,
選挙への関心度別関心があった(計),1424,11.1,59.6,168,12.0,0.6,87.4,,,,
選挙への関心度別関心がなかった(計),175,0.6,12.6,6.3,70.3,10.3,19.4,,,,
選挙への関心度別どちらともいえない,209,0.5,41.1,18.2,35.4,4.8,59.8,,,,
