,全体ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,参考にした（計）（％）
参議院議員選挙,381,24.9,31.0,41.2,2.9,55.9
東京都知事選挙,412,27.7,30.1,39.3,2.9,57.8
