,(n=1491)（％）
テレビ・ラジオの選挙報道,85.0
新聞・雑誌などの選挙報道,50.8
選挙公報,35.4
候補者等のポスター,28.0
テレビ・ラジオの政見放送・経歴放送,22.1
候補者等の街頭演説,16.1
候補者等の新聞広告,15.7
候補者等の選挙運動用自動車からの連呼,7.5
候補者のはがき・候補者等のビラ,5.6
候補者のホームページ、ツイッター等のネット上の情報,4.6
候補者以外のホームページ、ツイッター等のネット上の情報,4.2
家族、友人、知人からの勧め,3.5
政党、候補者の後援会などからの推薦,1.5
候補者の個人演説会,1.1
各種団体からの推薦,0.7
その他,0.2
どれにも接していない,0.2
役立ったものはない,3.4
わからない、忘れた,1.3
