,n,もともと東京都政や東京都に関する選挙に関心があったから（％）,もともと政治や選挙そのものに関心があったから（％）,候補者自身に関心があったから（％）,,,,,
全体,1424,52.4,41.0,36.7,,,,,
職業別自営業,118,49.2,54.2,34.7,,,,,
職業別勤め人,612,56.4,39.1,32.5,,,,,
職業別学生,22,36.4,36.4,18.2,,,,,
職業別専業主婦(夫),329,46.2,31.9,47.7,,,,,
職業別その他,20,60.0,35.0,15.0,,,,,
職業別無職(年金受給者含む),323,52.9,49.8,36.8,,,,,
