質問,n,テレビ(%),新聞(%),携帯電話・スマートフォン・タブレット等でのインターネット(%),パソコンでのインターネット(%),ラジオ(%),雑誌(%),特にない(%)
全体,(2011),89.8,59.2,44.3,39.2,12.3,11.0,0.9
職業別自営業,(174),87.9,59.8,29.9,44.8,13.8,13.8,0.6
職業別勤め人,(981),89.3,50.5,61.9,51.0,10.4,11.6,0.3
職業別学生,(53),77.4,30.2,92.5,54.7,5.7,13.2,0
職業別専業主婦(夫),(391),93.1,72.6,34.0,31.5,13.8,12.5,0.8
職業別その他,(62),85.5,41.9,40.3,30.6,12.9,6.5,1.6
職業別無職,(335),91.6,76.1,6.3,10.1,16.4,6.9,2.7
